"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es la capital de Francia?","Londres" , "París", "Berlín", "París"
"¿Cuánt planetas hay en el sistema solar?", "7", "8", "9", "8"
"¿Cuál es el símbolo químico del oro?", "Pb", "Ag", "Au", "Au"
"¿En qué año llegó el hombre a la Luna?", "1969", "1970", "1968", "1969"
"¿Cuál es el río más largo del mundo?", "Amazonas", "Nilo", "Yangtsé", "Nilo"
"¿Quien es el decano del futbol uruguayo", "Nacional", "Peñarol", "CURCC", "Nacional"
"¿Cuál es la montaña más alta del mundo?", "K2", "Everest", "Annapurna", "Everest"
"¿Cuál es la capital de España?", "Barcelona", "Madrid", "Sevilla", "Madrid"
"¿Qué país tiene la mayor cantidad de islas en el mundo?", "Filipinas", "Suecia", "Indonesia", "Suecia"
"¿Cuál es el idioma oficial de Brasil?", "Español", "Portugués", "Inglés", "Portugués"
"¿Cuál es la moneda de Japón?", "Yuan", "Won", "Yen", "Yen"
"¿Cuál es el elemento más abundante en la atmósfera terrestre?", "Oxígeno", "Nitrógeno", "Carbono", "Nitrógeno"
"¿En qué año comenzó la Segunda Guerra Mundial?", "1939", "1941", "1938", "1939"
"¿Cuál es el libro más vendido del mundo?", "El Señor de los Anillos", "Don Quijote", "La Biblia", "La Biblia"
"¿Cuál es el océano más grande del mundo?", "Atlántico", "Índico", "Pacífico", "Pacífico"
"¿Cuál es el país más poblado del mundo?", "India", "China", "Estados Unidos", "China"
"¿Qué elemento químico tiene el símbolo Fe?", "Cobre", "Hierro", "Plomo", "Hierro"
"¿Cuál es el deporte más jugado en el mundo?", "Baloncesto", "Críquet", "Fútbol", "Fútbol"
"¿Quién escribió 'Cien años de soledad'?", "Gabriel García Márquez", "Mario Vargas Llosa", "Julio Cortázar", "Gabriel García Márquez"
"¿Cuál es la velocidad de la luz?", "300,000 km/s", "150,000 km/s", "200,000 km/s", "300,000 km/s"
